                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.43808,                0.30958,                0.95536,                0.99704,                0.48461,                0.54084,                  0.506,                0.32872,                0.22145,                0.81599,               0.006535,               0.006535,               0.006535
                     38,                0.44247,                0.30375,                0.95907,                0.99705,                0.48525,                0.50431,                0.47525,                0.32871,                 0.2227,                0.81546,               0.006436,               0.006436,               0.006436
                     39,                0.43873,                0.31002,                0.95196,                      1,                0.48545,                0.51876,                0.48761,                0.32589,                 0.2228,                0.81387,               0.006337,               0.006337,               0.006337
                     40,                0.44068,                0.30915,                0.95459,                      1,                0.48261,                0.52785,                0.49039,                0.32275,                0.21482,                0.81667,               0.006238,               0.006238,               0.006238
                     41,                0.43028,                0.30104,                0.95667,                      1,                0.48384,                0.50072,                0.47371,                0.32474,                0.22022,                0.81312,               0.006139,               0.006139,               0.006139
                     42,                0.42061,                0.29545,                0.94427,                0.99852,                 0.4839,                0.53709,                0.49845,                0.32443,                0.21666,                0.82025,                0.00604,                0.00604,                0.00604
                     43,                0.43032,                0.29328,                0.95189,                0.99704,                0.48382,                0.51037,                0.47961,                0.33239,                0.22715,                0.81559,               0.005941,               0.005941,               0.005941
                     44,                0.42384,                0.29501,                0.95042,                0.99958,                0.48127,                0.50539,                 0.4766,                0.32557,                0.21735,                0.81635,               0.005842,               0.005842,               0.005842
                     45,                0.42012,                0.28909,                0.94781,                      1,                0.48498,                 0.5281,                0.49685,                0.31321,                0.21418,                0.81281,               0.005743,               0.005743,               0.005743
                     46,                0.42394,                 0.2938,                0.95109,                0.99799,                0.48415,                 0.5934,                0.55042,                 0.3183,                0.21275,                0.81634,               0.005644,               0.005644,               0.005644
                     47,                0.41056,                0.29302,                0.94572,                0.99761,                0.48559,                0.49476,                0.47067,                0.32166,                0.21177,                0.81458,               0.005545,               0.005545,               0.005545
                     48,                0.41495,                0.28986,                0.94816,                      1,                0.48512,                0.49446,                0.47041,                0.31835,                0.20207,                 0.8127,               0.005446,               0.005446,               0.005446
                     49,                0.41058,                0.28584,                 0.9443,                0.43949,                0.49135,                0.66216,                0.60377,                0.31876,                0.20748,                0.81045,               0.005347,               0.005347,               0.005347
                     50,                0.41202,                0.28367,                0.95022,                0.99805,                0.48559,                0.66158,                0.57133,                0.31295,                0.20241,                0.81013,               0.005248,               0.005248,               0.005248
                     51,                0.40356,                0.28194,                0.94191,                0.99703,                0.48218,                0.49325,                0.47066,                0.31665,                0.20439,                0.81352,               0.005149,               0.005149,               0.005149
                     52,                0.39951,                0.27554,                0.93792,                0.99478,                0.48415,                0.49632,                0.47115,                0.30908,                0.20239,                0.81086,                0.00505,                0.00505,                0.00505
                     53,                    0.4,                 0.2769,                0.93837,                0.99561,                0.48784,                0.49639,                0.47215,                0.30368,                0.19153,                0.80669,               0.004951,               0.004951,               0.004951
                     54,                0.40309,                0.28051,                0.93935,                0.99939,                0.48271,                0.57904,                0.52773,                0.30583,                0.20027,                0.80814,               0.004852,               0.004852,               0.004852
                     55,                0.39861,                0.27735,                0.93646,                0.99926,                0.48127,                0.52756,                0.49465,                0.31329,                0.20303,                0.80834,               0.004753,               0.004753,               0.004753
                     56,                0.39745,                0.27544,                0.93898,                0.99653,                0.48559,                  0.512,                  0.478,                0.30429,                0.19706,                0.80964,               0.004654,               0.004654,               0.004654
