                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.764,                 1.4854,                  1.127,                0.99141,                0.47118,                0.48407,                 0.3889,                0.79211,                 1.0986,                 1.0514,              0.0033267,              0.0033267,              0.0033267
                      2,                0.73526,                0.82164,                 1.0875,                0.97138,                0.47458,                 0.4873,                 0.4059,                0.64776,                0.65186,                0.98888,              0.0065941,              0.0065941,              0.0065941
                      3,                0.78161,                0.68987,                  1.124,                0.96959,                0.46732,                0.48577,                   0.41,                0.60751,                0.55469,                0.96302,              0.0097955,              0.0097955,              0.0097955
                      4,                0.78665,                 0.6255,                 1.1298,                 0.9909,                0.47118,                0.48941,                0.41836,                0.62208,                0.45401,                0.99564,               0.009703,               0.009703,               0.009703
                      5,                0.73627,                0.56395,                 1.1049,                0.99343,                0.47406,                0.48387,                 0.4049,                0.64711,                0.45476,                0.98506,               0.009703,               0.009703,               0.009703
                      6,                0.70456,                0.52688,                 1.0908,                0.99552,                0.47788,                0.98853,                0.74126,                0.45681,                0.35877,                0.87809,               0.009604,               0.009604,               0.009604
                      7,                0.67077,                0.49768,                 1.0714,                0.99395,                0.47085,                 0.4893,                0.41359,                0.68717,                0.42009,                0.98867,               0.009505,               0.009505,               0.009505
                      8,                0.65184,                0.47375,                 1.0593,                0.99258,                0.47826,                0.49221,                 0.4416,                0.46973,                0.38737,                0.88012,               0.009406,               0.009406,               0.009406
                      9,                0.62491,                0.45223,                 1.0547,                0.98824,                0.47844,                0.49744,                0.44329,                0.49479,                0.35558,                0.90517,               0.009307,               0.009307,               0.009307
                     10,                0.61046,                0.43804,                 1.0386,                0.99557,                0.48328,                0.49058,                0.43553,                0.54506,                0.35633,                0.93142,               0.009208,               0.009208,               0.009208
                     11,                0.59467,                0.43362,                 1.0289,                0.99206,                0.48127,                0.49173,                0.45154,                0.44468,                0.31809,                0.86909,               0.009109,               0.009109,               0.009109
                     12,                 0.5945,                0.43208,                 1.0317,                0.99848,                0.47175,                0.48976,                0.44109,                0.50136,                0.35646,                0.89346,                0.00901,                0.00901,                0.00901
                     13,                0.57216,                0.41427,                 1.0191,                0.99719,                 0.4755,                0.49471,                0.45317,                0.41309,                0.31926,                0.85836,               0.008911,               0.008911,               0.008911
                     14,                0.56397,                0.40716,                 1.0137,                0.99861,                0.47983,                0.50862,                0.46311,                0.44096,                 0.2942,                 0.8665,               0.008812,               0.008812,               0.008812
                     15,                0.54407,                0.38631,                  1.006,                0.99708,                 0.4755,                0.49136,                0.45598,                0.40191,                0.29384,                0.86025,               0.008713,               0.008713,               0.008713
                     16,                 0.5457,                0.38643,                 1.0095,                0.99555,                0.48171,                0.49263,                0.45732,                0.38417,                0.28591,                0.84719,               0.008614,               0.008614,               0.008614
